job_id,company_id,location,designation,details_id
JOB304,COM130,Work From Home,Technical Product Manager (Database Architect),I02
JOB305,COM130,Work From Home,"Technical Product Manager, (Cloud Engineer)",I02
JOB306,COM131,Noida,Business Development Executive,S04
JOB307,COM100,Bangalore,Senior / Member of Technical Staff,S03
JOB308,COM106,Work From Home,Staff - Backend Developer,S03
JOB309,COM091,Bangalore,Senior DevOps Engineer,I02
JOB310,COM132,Delhi,Business Development Associate,M05
JOB311,COM133,Pune,Hyperion Developer,S03
JOB312,COM134,Bangalore,Digital Marketing Executive,M05
JOB313,COM129,Bangalore,Quality Assurance Engineer,S03
JOB314,COM043,Work From Home,SEO Consultant,M05
JOB315,COM135,Noida,Senior Node.js Developer,S03
JOB316,COM136,Bangalore,Software Developer,S03
JOB317,COM137,Bangalore,UI Artist,D09
JOB318,COM138,Chennai,Head of Engineering,T08
JOB319,COM080,Bangalore,Full Stack Developer,S03
JOB320,COM139,Surat,"Marketing Head (Trip, Digital Marketing)",M05
JOB321,COM140,Work From Home,Software Technical Support Engineer,I02
JOB322,COM141,Gurgaon,React.js Developer,S03
JOB323,COM142,Chennai,Process Simulation Engineer,T08
JOB324,COM143,Work From Home,Assistant Brand Manager,M05
JOB325,COM004,Bangalore,QA Engineer,S03
JOB326,COM004,Bangalore,SDE,S03
JOB327,COM088,Bangalore,.NET Developer,S03
JOB328,COM144,Hyderabad,Full Stack Java Developer,S03
JOB329,COM038,Bangalore,Data Analyst,D01
JOB330,COM093,Delhi,Senior Consultant I - Engineer,I02
JOB331,COM119,Bangalore,Data Scientist,D01
JOB332,COM105,Bangalore,Senior Software Developer,S03
JOB333,COM004,Bangalore,Product Manager,T08
JOB334,COM088,Bangalore,.NET Developer,S03
JOB335,COM145,Delhi,React.js Developer,S03
JOB336,COM146,Noida,Business Development Executive,S04
JOB337,COM147,Bangalore,React.js / Angular JS Developer,S03
JOB338,COM148,Bangalore,Data Engineer,S03
JOB339,COM149,Bangalore,Business Development Representative / Executive,S04
JOB340,COM070,Bangalore,Release Engineer,I02
JOB341,COM070,Bangalore,Security Engineer,I02
JOB342,COM150,Work From Home,Product Manager,I02
JOB343,COM055,Work From Home,Backend Developer - SSE,S03
JOB344,COM151,Gurgaon,Customer Support Associate,S04
JOB345,COM152,Bangalore,Frontend Developer,S03
